Word,Pair,Contrast
κήπου,1,1
κήπο,2,1
κύβος,3,1
κέντα,1,3
κι,23,314
κήπος,3,3
θύμα,13,413
χύμα,111,4514
θύτης,2,4
χύτης,2,4
χέσει,3,4
θέσει,3,4
χώμα,11,515
χύνει,2,5
χάνει,2,5
χύσω,3,5
χάσω,3,5
χάβω,1,6
θάβω,1,6
θάβει,2,6
χάβει,2,6
χάψει,3,6
θάψει,3,6
γκύσω,3,7
γκύζη,13,817
γκέμι,2,8
γκι,1,9
γκέφι,2,9
γκύνει,3,9
γόνος,1,10
γένος,1,10
γάλα,2,10
γίδα,32,1011
γάδα,3,10
γένει,1,11
δένει,1,11
δίδα,2,11
γίναμε,3,11
δίναμε,3,11
γούλα,1,12
δούλα,1,12
γάμα,21,1218
δάμα,2,12
γάτα,3,12
δάτα,3,12
θάμα,1,13
θέλει,2,13
κύμα,1,14
χήνα,2,14
κίνα,2,14
χι,3,14
χάνω,2,15
χάνατε,3,15
δήμη,1,16
δύσει,2,16
δίσκο,3,16
γκέλα,1,17
γέλα,21,1017
γκέννες,2,17
γέννες,2,17
γύζη,3,17
γόνο,3,18
δέσει,4,19
δέμα,4,19
θέμα,4,19
δόλο,4,19
θόλο,4,19
δύτης,4,19
γέλια,4,20
χέλια,4,20
γάρος,4,20
χάρος,4,20
γάρου,4,20
χάρου,4,20
γήρας,4,20
χήρας,4,20
δώσει,4,19
θα,4,19
δίκη,4,19
δόμο,4,19
δότες,4,19
